radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TIC,TSM_Vmag_priority,X_priority,vip_rank
4,3,1,spoc,1696.01,2.968968,2.500715,3181.0,13.806706,491.634409,0.0,16.82,10.736980446746486,89.6082777133152,274123.0793460775,0.0003268906723471674,470381900.0,2.0,4.0,
4,3,1,spoc,1474.01,3.721602,5.222621,3453.0,2.790858,329.65084900000005,0.0,16.502,12.500257508289799,84.25546888528086,150894.01237426695,0.0005583751638620324,427654774.0,,3.0,
4,3,1,spoc,1745.01,3.6638260000000002,5.985115,3759.0,13.818921,491.74310499999996,0.0,14.523,8.233759565816447,71.49417796175908,56197.055930880226,0.0012722050430843494,232635922.0,,1.0,
4,3,2,spoc,2443.01,2.686889,15.669232000000001,4214.44,13.293118,486.997196,0.0,9.51,2.603889888930681,111.2397763931858,5552.194809749026,0.020035279777622598,318753380.0,1.0,1.0,
4,3,2,,K2-266 e,2.73,19.482,4285.0,9.581,,1.0,,4.359894506934392,21.37850219032003,,,,2.0,2.0,
4,3,2,,Kepler-26 b,2.78,12.28,3914.0,7.6,,1.0,,2.1438374306885075,19.89048131539433,,,,3.0,3.0,
4,3,2,,Kepler-26 c,2.72,17.2559,3914.0,4.82,,1.0,,2.3177530520955942,13.521038442328392,,,,,4.0,
4,3,3,spoc,1246.04,3.321207,37.917995,5141.0,10.809572,462.45755,0.0,11.632,2.316578986283699,24.40634232682495,49523.99842889249,0.0004928184940856108,230127302.0,1.0,1.0,
4,3,3,spoc,2089.01,3.3488660000000006,49.994324,5274.27,6.384106,405.41029100000003,0.0,12.281,2.0853483338833767,21.82269002898011,111109.88740727426,0.00019640637334991483,341815197.0,2.0,2.0,
4,3,3,,Kepler-411 d,3.319,58.02035,4832.69,4.197614168197998,,1.0,,2.759864892071401,13.590853427708813,,,,3.0,3.0,
4,3,4,spoc,1277.02,3.549235,37.074384,5544.0,13.348885999999998,487.50716500000004,0.0,10.366,2.4164550631683674,49.80180540707475,14182.48978889233,0.0035114994721222596,153949511.0,1.0,1.0,
4,4,1,,GJ 1214 b,2.847,1.58040456,3026.0,18.293980326363663,,1.0,,12.197232372804232,630.0553186459698,,,,3.0,3.0,
4,4,1,spoc,620.01,2.729669,5.0983730000000005,3633.0,15.711623999999999,507.77933099999996,0.0,12.262,4.7598017630335185,146.33718237237758,20957.148711649075,0.006982685688107741,296739893.0,1.0,1.0,
4,4,1,spoc,1245.01,2.722671,4.820419,3692.0,22.635282,556.309181,0.0,14.37,4.6139746345609485,47.917645763790276,155438.8308186154,0.0003082733285591058,229781583.0,2.0,2.0,
4,4,2,spoc,2134.01,3.0022900000000003,9.229281,4406.0,34.511126000000004,618.172287,0.0,8.933,3.6418281301532973,187.3545686953364,1668.2880306379052,0.1123034903173749,75878355.0,1.0,1.0,
4,4,2,,K2-266 d,2.93,14.697000000000001,4285.0,13.95,,1.0,,2.9807912673401646,47.38918773842685,,,,3.0,4.0,
4,4,2,spoc,1738.01,3.586413,3.697386,3948.0,59.791252,709.21704,0.0,14.066,7.01739724496689,44.405084798184625,50787.613064455516,0.0008743290365276528,104208182.0,2.0,2.0,
4,4,2,spoc,1697.01,3.6895839999999995,10.716396000000001,4067.0,19.937409,538.935671,0.0,12.5001,5.172101478039021,,22101.19984915518,,1884091865.0,,3.0,
4,4,3,spoc,560.01,2.847985,6.397438,4695.0,66.24463100000001,727.624679,0.0,9.67,4.599971755345788,184.41597318226363,2061.5771698002627,0.08945382975895629,101011575.0,2.0,1.0,
4,4,3,spoc,2076.01,2.8894,10.355753,5149.6,48.122862,671.749903,0.0,9.139,2.8229171562790287,130.6772150518654,3356.7087441587937,0.03893016195678714,27491137.0,1.0,2.0,
4,4,3,spoc,1180.01,2.8472049999999998,9.692136999999999,4738.1,35.3448,621.872185,0.0,11.017,3.0963338127176208,63.96897665366943,15733.10262147904,0.004065884408987337,158002130.0,3.0,4.0,
4,4,3,spoc,1280.01,3.190591,9.692664,4665.0,36.425670000000004,626.572944,0.0,11.5833,3.79214997931677,57.38917690796781,17670.91002392271,0.0032476639194175564,230017324.0,,,
4,4,3,spoc,1803.02,3.132298,6.294392,4868.61,62.66729599999999,717.595966,0.0,11.871,4.05265663545649,56.972489398193424,20166.489635563557,0.0028251069188423637,144401492.0,,,
4,4,3,spoc,1758.01,3.4877059999999998,20.705132,5169.0,20.749894,544.344352,0.0,10.794,3.0519683067781322,56.79830591010117,13187.117852907208,0.004307105354152843,367858035.0,,3.0,
4,4,3,spoc,561.03,2.842121,16.37165,5391.0,38.003128000000004,633.249107,0.0,10.252,2.2355636769673803,52.46088367085281,14918.8668147561,0.003516412092302096,377064495.0,,5.0,
4,4,3,,K2-285 c,3.53,7.1380479999999995,4975.0,50.35,,1.0,,5.906787664018826,37.71129039746712,,,,,,
4,4,3,spoc,1464.01,2.737991,11.312334,5290.0,56.115337,698.055806,0.0,11.371,2.421119851668709,33.515726806894385,35651.46238734787,0.000940094025954699,229944666.0,,,
4,4,3,spoc,1812.02,3.05687,11.613237,5059.36,35.682196000000005,623.350977,0.0,12.431,3.0507616882563373,32.0459362823165,59606.46390987248,0.0005376251866034416,207425167.0,,,
4,4,3,spoc,1805.01,3.11764,24.073068,5232.43,19.884164000000002,538.575488,0.0,11.513,2.3751919821546292,30.74364407055297,42219.44200117723,0.0007281868876830662,165763244.0,,,
4,4,3,spoc,1246.01,3.3053730000000003,18.660326,5141.0,27.821252,585.7521849999999,0.0,11.632,2.9104548114503825,30.721798359212972,31375.322955240634,0.0009791707452076282,230127302.0,,,
4,4,3,,K2-32 d,3.27,31.7142,5415.0,14.5,,1.0,,2.304999598716382,28.33119937940746,,,,,,
4,4,3,,TOI-125 d,2.93,19.98,5320.0,26.7,,1.0,,3.550247498078475,26.76780032251023,,,,,,
