radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TIC,TSM_Vmag_priority,X_priority,vip_rank
4,4,3,spoc,1687.01,4.394979,10.257449000000001,5734.0,106.77718899999999,819.859381,0.0,10.507,5.165221722575782,72.57913943964543,3534.532575368955,0.0205342963721502,103448870.0,,,
4,4,3,,Kepler-25 c,5.2170000000000005,12.7207,6270.0,210.172,,1.0,,3.71443241484006,71.82676122977209,,,,,,
4,4,3,qlp,1376.01,4.895490000000001,1.7386599999999999,6026.0,934.846,1540.0,0.0,10.776,10.635167160080142,70.91864580206278,1068.1230456512606,0.06639557688676398,190743990.0,,,
4,4,3,qlp,2118.01,4.2647,2.34483,6398.0,580.577,1367.0,0.0,9.11,6.901130294178998,64.27006234435873,546.8515811842199,0.11752743258999163,17416749.0,,,
4,4,3,spoc,1340.01,5.374472,8.587467,5929.0,152.04295,895.594301,0.0,11.297,7.441676029408806,63.5617051843398,3525.0753748554293,0.018031303851750006,233681149.0,,,
4,4,3,spoc,1592.01,4.821769000000001,5.631807,5669.9,474.491912,1190.356241,0.0,10.337,7.423241758823291,60.9874525597147,1463.2640964138218,0.041679046666410514,186599508.0,,,
4,4,3,,EPIC 211945201 b,5.76,19.49221,6069.0,105.43023064854296,,1.0,,5.788108714158797,55.77619457624317,,,,,,
4,4,3,qlp,1526.01,5.5149300000000006,1.5312700000000001,6298.0,978.546,1558.0,0.0,10.253,12.768832768195983,54.27987385920454,457.7280508412441,0.11858542153893617,313761775.0,,5.0,
4,4,3,qlp,2174.01,4.432180000000001,2.96041,6069.0,461.902,1291.0,0.0,10.868,7.464197910559956,53.323293026607764,2360.1718930462603,0.022592970106844083,159815224.0,,,
4,4,3,qlp,1258.01,4.18561,10.260860000000001,6124.0,230.956,1086.0,0.0,9.634,4.389280534047242,51.43708367684818,2190.399079289319,0.023482973565500713,288132261.0,,,
4,4,3,qlp,1848.01,6.1778,5.481,5923.0,668.43,1416.0,0.0,11.048,11.00096140562376,48.671057592673364,1282.4742209283268,0.037950905209964005,219824469.0,,,
4,4,3,qlp,938.01,3.9907199999999996,8.80874,5981.0,221.36599999999999,1074.0,0.0,11.389,4.38485604754506,47.07524904687064,11050.940628353013,0.004259840915812298,332660150.0,,,
4,4,3,spoc,2019.01,6.086156,15.347453,5588.0,194.754085,952.777282,0.0,10.263,8.04948969646371,43.56909389788592,1162.4471808809578,0.03748049340604636,159781361.0,,,
4,4,3,qlp,1672.01,5.17598,3.89675,6064.0,722.174,1444.0,0.0,10.55,8.795432656576455,43.32892528181059,1268.2226660966721,0.034165077190402286,468828873.0,,,
4,4,3,qlp,1873.01,4.90235,24.93345,5699.0,172.519,1009.0,0.0,11.215,4.659978959093698,41.785391401194104,8335.698822252107,0.0050128240345786255,328933398.0,,,
4,4,3,spoc,1237.01,5.26101,12.726356,6212.0,226.94749199999998,989.922275,0.0,10.769,5.884397818604787,38.30231987738489,3466.617097058129,0.011048904105933517,120960812.0,,,
4,4,3,qlp,2163.01,4.0341,5.21485,6318.0,716.547,1441.0,0.0,10.761,4.900630896652355,37.88469007376927,4961.419379547008,0.007635857236730561,43429656.0,,,
4,4,3,qlp,1253.01,4.01916,4.67558,5779.0,250.532,1108.0,0.0,10.668,1.806483064030596,34.78146928744416,33515.22485852,0.0010377811706252737,233684822.0,,,
4,4,3,,Kepler-33 d,5.35,21.77596,5904.0,123.691,,1.0,,0.7569055637969083,34.148219303190714,,,,,,
4,4,3,,Kepler-18 c,5.49,7.641589999999999,5345.0,126.081,,1.0,,5.741881428307424,32.26358081657877,,,,,,
4,4,3,,CoRoT-22 b,4.88,9.755980000000001,5939.0,170.52145697880766,,1.0,,3.4323501875739133,27.916964677071885,,,,,,
4,4,3,,K2-27 b,4.48,6.7713149999999995,5248.0,116.0,,1.0,,11.480791299101567,22.88978740703289,,,,,,
4,4,3,,KOI-94 c,4.32,10.423648,6182.0,268.219,,1.0,,3.880567332361326,16.941438426345517,,,,,,
4,4,3,,K2-98 b,5.2,10.136448,6172.0,338.2777532361713,,1.0,,8.440282039423453,14.504632159181053,,,,,,
4,4,3,qlp,1785.01,4.699409999999999,11.00468,6264.0,223.46,1077.0,0.0,10.197,1.8538377847968908,13.105984508966532,20623.69450202325,0.0006354818971780635,230386259.0,,,
4,4,3,,Kepler-223 e,4.6,19.72567,5234.28,119.882,,1.0,,1.055202516537204,10.2750641356424,,,,,,
4,4,3,,Kepler-223 d,5.24,14.788689999999999,5234.28,175.951,,1.0,,1.9359104042677167,10.031291334981717,,,,,,
4,5,2,spoc,1713.01,4.65369,0.5572010000000001,5097.6,3415.825831,1949.816221,0.0,11.436,16.906352233414328,156.07759829536954,776.2651697459522,0.20106221994534285,15863518.0,1.0,1.0,
4,5,2,,K2-39 b,6.277,4.60543,4881.0,1356.0,,1.0,,14.528983444269114,32.125310399357645,,,,2.0,2.0,
4,5,3,spoc,2106.01,5.30279,0.633259,5590.0,4030.7512469999997,2032.199073,0.0,10.52,18.41752529351732,249.3036833597579,281.35029593326533,0.8860971072832684,393911494.0,3.0,2.0,
4,5,3,spoc,2111.01,4.1026940000000005,1.269168,5477.0,1427.427187,1567.6829699999998,0.0,9.83,9.661332890466305,191.180638572947,541.5465998475858,0.35302712384631973,356235833.0,1.0,5.0,
4,5,3,qlp,1577.01,5.2948900000000005,0.9983700000000001,6082.0,2465.96,1963.0,0.0,10.156,14.322145957674902,182.37359836489614,332.73136031912827,0.5481106385342774,332154944.0,2.0,4.0,
4,5,3,qlp,851.01,4.85569,0.63002,5485.0,2844.7,2034.0,0.0,11.309,16.374721887725855,181.1316217319906,736.1427870443207,0.24605501122852852,40083958.0,,,
4,5,3,spoc,680.01,5.741712000000001,0.433716,5967.0,3891.41,2200.0,0.0,9.53,22.328840253519942,173.66479877079473,76.90907585797049,2.258053381001547,335499997.0,,1.0,
4,5,3,spoc,564.01,5.450351,1.6511419999999999,5752.0,1226.219431,1509.252132,0.0,11.097,13.64014106307988,123.02320400389225,872.7145221776144,0.1409661474372196,1003831.0,,,
4,5,3,qlp,1657.01,4.01095,5.6258300000000006,5304.0,1320.9,1679.0,0.0,10.286,5.860595190469059,122.01753565443721,2239.8888997590675,0.05447481599090114,27677846.0,,,
4,5,3,qlp,1770.01,4.47355,1.09254,6273.0,1150.85,1622.0,0.0,9.715,10.018257189607132,118.77143385757765,453.0285505018151,0.2621720722149095,457138169.0,,,
4,5,3,spoc,1795.01,6.000207,2.791791,6071.0,1003.835844,1435.606527,0.0,10.501,12.674946779891366,118.46597546200378,583.7375584156474,0.20294389791114087,135083444.0,,,
4,5,3,qlp,1677.01,5.09039,0.64367,5919.7,1438.63,1715.0,0.0,10.737,16.230319736736178,111.46093223449616,442.4414176724068,0.2519224642685334,87090944.0,,,
4,5,3,qlp,1597.01,4.68288,0.7377199999999999,6001.0,1958.84,1853.0,0.0,10.781,13.05107637974677,91.38208585767003,712.5531487541131,0.12824599262167327,68152139.0,,,
4,5,3,qlp,1399.01,5.02044,1.38155,6483.0,5517.28,2401.0,0.0,10.591,10.648450982437407,87.58216097389038,898.5392528391446,0.09747171389246946,66783360.0,,,
4,5,3,qlp,1131.01,5.55614,0.58603,5579.0,1042.07,1582.0,0.0,9.96,20.53584259906005,86.66494185956375,135.1091844016005,0.6414437496858809,198213332.0,,3.0,
4,5,3,qlp,1304.01,5.60677,8.876339999999999,5992.0,1140.13,1618.0,0.0,10.281,7.766238660410533,82.25189108934318,1269.6629926060807,0.06478245925756634,186000935.0,,,
4,5,3,qlp,1187.01,5.0892599999999995,2.59415,6389.0,1154.73,1624.0,0.0,10.348,8.935733388127716,82.07798232120345,1020.1159108537342,0.08045946685853811,372757221.0,,,
4,5,3,qlp,1367.01,5.0203,2.08839,6255.8,2014.92,1866.0,0.0,9.713,8.910351280859519,81.93174726376067,571.6369249149566,0.1433282975482205,129539786.0,,,
4,5,3,qlp,1185.01,5.07792,1.19573,5997.0,1731.95,1797.0,0.0,10.527,12.953282356132739,75.05954759687745,572.466742568142,0.13111599681782904,83210867.0,,,
4,5,3,qlp,1133.01,4.862419999999999,1.80709,6244.0,7233.01,2569.0,0.0,9.56,9.729236367765289,63.73511525363825,416.4399802101608,0.15304754174052562,69997672.0,,,
4,5,3,qlp,1557.01,4.98445,1.08697,5751.0,2889.01,2042.0,0.0,11.333,13.366393678880051,61.39836701555615,1129.4875022165488,0.0543594921546858,320506985.0,,,
4,5,3,qlp,1571.01,6.05271,1.2427,5624.8,1263.34,1660.0,0.0,10.763,14.676664542852931,55.45453579928603,554.185540760047,0.1000649272141456,285677945.0,,,
4,5,3,qlp,1513.01,4.06597,1.7658900000000002,6221.0,6579.97,2509.0,0.0,10.868,7.392681594305626,50.167232111473965,2406.057065539882,0.02085039163450482,269509393.0,,,
4,5,3,qlp,1505.01,4.55945,3.42985,6338.0,1579.6,1756.0,0.0,9.772,6.967635135409778,48.04817915962935,987.0499372443037,0.04867856969199826,331034236.0,,,
4,5,3,qlp,980.01,4.4269300000000005,1.33476,5322.0,2897.57,2043.0,0.0,10.925999999999998,11.037865118463365,40.92421050817217,1138.5176317949024,0.03594517060192919,93594834.0,,,
4,5,3,qlp,1291.01,4.53085,7.159960000000001,6229.0,1982.17,1858.0,0.0,11.515999999999998,5.532866917460366,21.629518343476008,7802.0634484016055,0.0027722817798805787,198186769.0,,,
4,5,3,,Kepler-4 b,4.002,3.21346,5857.0,1245.431,,1.0,,9.304416180776602,13.071986796649576,,,,,,
4,5,3,qlp,2149.01,6.028569999999999,0.58426,6020.0,8317.7,2660.0,0.0,10.6386,21.93763708904332,,221.19241521448237,,1716467085.0,,,
5,1,2,,Kepler-16 b,8.449,228.77599999999998,4450.0,0.3552704638703196,,1.0,,14.196089963614495,36.32799185142816,,,,1.0,1.0,
5,2,1,spoc,1632.01,8.047698,8.249187,2990.0,1.15526,264.41720499999997,0.0,15.869000000000002,59.71375012272002,403.22041059632124,3691.146081958844,0.10923989504699778,51024887.0,3.0,1.0,
5,2,1,spoc,1646.01,6.934714,3.623909,3514.0,4.616839,373.857364,0.0,15.263,29.332841476313693,163.4051671115231,8753.901505685028,0.018666553079835686,387527558.0,2.0,3.0,
5,2,1,spoc,1278.01,9.281245,14.476217000000002,3841.0,6.539548,407.855842,0.0,13.502,24.970084158332984,161.84965859666582,2385.9971140884736,0.06783313258888728,163539739.0,1.0,2.0,
5,2,1,spoc,482.01,9.098964,10.8717,3692.0,4.58694,373.250606,0.0,14.937,27.268868606702828,119.2810838194577,7501.976296332853,0.015899954772952984,365639282.0,,4.0,
5,2,2,qlp,1823.01,8.14298,194.05,4760.0,9.311,486.0,0.0,10.728,6.759715729660217,80.89181250817023,2529.6070376962084,0.03197801528170989,142381532.0,1.0,1.0,
